age,race,sex,native-country,workclass,education,education-num,occupation,hours-per-week,fnlwgt,capital-gain,capital-loss,marital-status,relationship
35,4,0,39,4,12,5,10,34,5376,0,0,0,1
9,4,0,39,4,9,4,1,34,17663,0,0,2,5
11,4,1,39,4,6,11,8,47,13520,0,0,4,2
18,4,1,39,2,15,1,11,45,17619,0,0,2,0
6,4,1,39,4,9,4,7,45,6652,0,0,4,3
8,4,1,39,4,11,15,3,34,2257,0,0,4,3
39,4,1,39,4,11,15,4,34,6631,0,0,2,0
8,4,1,39,4,9,4,4,28,702,0,0,4,3
25,2,0,39,4,15,1,7,34,8610,0,0,5,4
28,4,1,39,4,11,15,1,65,13967,0,0,2,0
40,4,1,39,4,11,15,3,45,6490,0,0,2,0
18,1,0,36,4,12,5,10,34,14162,0,0,4,1
16,4,1,39,6,11,15,14,39,15802,0,0,2,0
17,4,0,39,4,1,13,8,66,14595,0,0,0,1
7,4,0,39,4,15,1,1,34,20842,0,0,4,1
30,4,0,39,4,11,15,1,34,5887,0,0,0,4
9,4,1,39,4,11,15,3,34,11792,0,0,4,1
26,4,0,39,4,15,1,10,34,16870,0,0,5,4
15,2,0,39,0,2,14,0,34,12774,0,0,4,3
9,4,1,39,4,11,15,1,34,19566,0,0,4,3
20,2,1,39,1,11,15,1,34,15839,0,0,2,0
25,4,1,39,4,11,15,12,34,8344,80,0,2,0
2,4,0,39,4,15,1,12,14,21432,0,0,4,3
33,4,1,39,4,9,4,10,37,5751,0,0,2,0
16,4,0,39,4,15,1,12,34,14395,0,0,4,1
13,4,1,39,2,12,5,10,39,6977,0,0,2,0
10,2,0,39,1,11,15,1,34,10175,0,0,4,1
20,2,0,39,4,11,15,8,23,5786,0,0,0,1
50,2,0,39,0,4,9,0,34,4608,0,0,6,4
28,4,1,39,4,8,2,4,34,165,0,0,0,1
13,4,1,39,4,9,4,8,34,13197,0,0,0,1
33,4,1,39,4,11,15,7,34,21000,0,0,2,0
13,4,1,39,4,15,1,12,34,11382,0,0,2,0
49,4,1,39,4,15,1,12,20,16645,0,0,2,0
28,4,1,39,1,11,15,3,34,203,0,0,2,0
18,4,0,39,4,11,15,8,34,19894,0,0,0,4
16,4,1,39,4,11,15,14,50,4873,0,0,2,0
8,4,0,39,4,12,5,8,30,13081,0,0,4,1
9,4,1,39,4,0,12,3,50,12589,0,0,2,0
42,2,0,39,4,1,13,8,28,12172,0,0,0,1
3,4,0,39,4,15,1,8,10,12889,0,0,4,3
4,4,0,39,2,15,1,8,34,234,0,44,4,1
12,4,0,39,4,11,15,8,34,7109,0,0,4,2
25,4,1,39,4,15,1,3,39,20483,62,0,2,0
10,4,1,39,4,9,4,13,45,11995,0,0,4,2
32,4,0,39,7,15,1,10,12,12311,0,0,0,1
28,4,0,39,6,9,4,4,34,18344,0,0,4,1
5,3,1,33,4,11,15,8,12,4183,0,0,4,4
0,4,1,39,4,0,12,8,17,9133,0,0,4,3
51,4,1,21,4,9,4,10,34,360,0,0,2,0
6,4,1,39,4,9,4,8,34,17472,0,0,4,3
8,4,1,39,4,11,15,1,34,10106,0,0,4,1
24,4,1,39,4,11,15,3,34,8190,0,8,2,0
51,4,0,39,0,15,1,0,34,8010,0,71,2,5
26,4,0,39,1,11,15,1,34,11495,0,0,2,5
10,4,1,39,4,9,4,12,56,7285,0,0,2,0
32,4,1,0,4,13,0,8,34,3886,0,0,2,0
21,4,0,39,4,8,2,8,23,10128,0,0,0,1
25,4,1,39,4,9,4,13,34,749,0,0,5,1
39,4,0,39,2,15,1,1,28,2457,0,0,0,1
5,0,1,39,6,8,2,5,70,699,0,0,4,1
24,4,1,39,4,7,3,3,56,6374,0,0,2,0
48,4,0,39,0,11,15,0,17,2000,0,0,6,2
21,4,1,39,2,9,4,3,34,9900,0,29,2,0
16,3,1,39,4,7,3,12,29,3297,0,0,4,1
38,4,0,39,6,7,3,12,34,8241,0,0,0,1
19,4,1,39,4,11,15,3,61,10259,0,0,4,1
17,4,0,39,4,15,1,4,34,7988,107,0,2,5
52,4,1,39,0,5,10,0,42,5450,0,0,2,0
19,4,1,39,5,15,1,12,56,7317,0,0,2,0
29,2,0,39,4,9,4,10,34,2150,0,0,0,1
30,4,0,39,4,15,1,8,34,15705,0,0,0,4
35,4,1,39,7,9,4,10,34,12658,0,0,2,0
17,4,0,39,4,15,1,12,12,5517,83,0,2,5
29,4,0,39,4,15,1,7,8,21391,0,0,0,3
35,4,1,39,4,10,7,4,31,5350,0,0,2,0
7,4,1,39,4,7,3,12,12,1521,0,0,4,3
8,2,1,39,7,15,1,13,34,4076,0,0,4,1
14,4,0,39,6,11,15,8,34,12595,0,69,2,5
28,4,1,39,4,9,4,12,50,16848,0,45,2,0
34,4,0,32,4,3,8,8,28,20035,0,0,6,4
10,4,1,39,6,8,2,3,34,17925,0,0,4,3
21,4,1,34,4,11,15,11,34,6616,0,0,2,0
18,4,0,39,1,11,15,10,34,11828,0,0,0,4
18,4,0,39,7,11,15,10,34,10946,0,0,0,4
54,4,1,39,0,11,15,0,66,18601,0,0,2,0
44,4,1,39,4,14,6,4,12,3696,0,0,2,0
8,4,0,39,4,15,1,10,28,21188,0,0,0,4
18,4,0,39,4,11,15,13,34,735,0,0,0,4
13,4,1,9,4,7,3,12,34,12515,0,0,4,1
21,4,0,39,0,5,10,0,34,20314,0,0,0,1
16,2,0,39,4,8,2,1,34,7242,0,0,2,5
21,3,1,33,4,11,15,14,34,11200,0,0,2,0
20,4,1,39,4,11,15,5,39,14803,0,0,0,4
22,4,1,39,4,12,5,10,34,7332,0,0,2,0
14,0,1,39,4,6,11,3,28,12946,0,0,4,3
15,4,1,39,2,11,15,11,37,6465,0,0,2,0
40,4,0,39,2,15,1,4,28,7867,0,0,0,4
31,4,1,39,4,11,15,3,45,13351,0,0,0,1
8,2,1,39,4,11,15,1,34,15691,0,0,4,1
17,4,1,39,4,9,4,4,50,9742,94,0,2,0
11,4,1,10,4,12,5,12,39,15526,0,0,2,0
11,2,0,39,4,15,1,1,34,15068,0,0,4,4
5,4,0,39,7,15,1,8,6,4453,0,0,4,3
5,4,0,39,4,11,15,8,34,9854,0,0,4,1
31,4,1,39,4,9,4,4,34,2170,0,0,0,2
7,4,1,39,4,7,3,3,34,5976,0,0,2,0
6,4,1,39,4,15,1,4,34,15217,0,0,4,1
52,4,1,39,6,15,1,3,67,9350,115,0,2,0
3,4,0,39,4,15,1,7,34,20090,0,0,4,3
34,4,1,39,6,11,15,5,45,577,0,0,2,0
21,4,0,39,4,2,14,8,8,21462,0,0,4,4
14,4,1,39,4,11,15,1,34,7493,33,0,4,1
25,2,1,0,4,2,14,3,56,16134,0,0,2,0
